"Framework is launched."


id	State       Bundle
112	ACTIVE      org.eclipse.xtext.xbase.lib_2.12.0.v20170518-0757
113	RESOLVED    ch.qos.logback.slf4j_1.0.7.v20121108-1250
	            Master=9
114	ACTIVE      com.google.inject_3.0.0.v201312141243
115	ACTIVE      ch.qos.logback.core_1.0.7.v20121108-1250
116	ACTIVE      org.openhab.ui.classicui_2.2.0.201706290927
117	ACTIVE      org.eclipse.smarthome.core.voice_0.9.0.201709011622
118	ACTIVE      org.antlr.runtime_3.2.0.v201101311130
119	ACTIVE      com.eclipsesource.jaxrs.provider.gson_2.3.0.201602281253
120	ACTIVE      org.eclipse.smarthome.config.xml_0.9.0.201709011622
121	ACTIVE      org.eclipse.smarthome.ui.classic_0.9.0.201709011622
122	ACTIVE      ch.qos.logback.classic_1.0.7.v20121108-1250
123	ACTIVE      org.eclipse.smarthome.io.rest.core_0.9.0.201709011622
124	ACTIVE      org.eclipse.jetty.util_9.3.14.v20161028
125	ACTIVE      org.eclipse.smarthome.io.rest.sse_0.9.0.201709011622
126	ACTIVE      org.eclipse.smarthome.model.item.runtime_0.9.0.201709011622
127	ACTIVE      org.eclipse.jetty.osgi.httpservice_9.3.14.v20161028
128	ACTIVE      org.eclipse.smarthome.automation.rest_0.9.0.201709011622
129	INSTALLED   org.jupnp_2.2.0
130	ACTIVE      org.eclipse.smarthome.ui.iconset.classic_0.9.0.201709011622
131	ACTIVE      org.eclipse.smarthome.binding.yahooweather_0.9.0.qualifier
132	ACTIVE      javax.jmdns_3.5.2
133	ACTIVE      org.eclipse.smarthome.io.monitor_0.9.0.201709011622
134	ACTIVE      org.eclipse.smarthome.config.discovery_0.9.0.201709011622
135	ACTIVE      org.eclipse.smarthome.core.persistence_0.9.0.201709011622
136	ACTIVE      org.eclipse.osgi.services_3.6.0.v20170228-1906
137	RESOLVED    org.openhab.ui.paperui_2.2.0.201706290927
	            Master=143
138	ACTIVE      org.eclipse.smarthome.io.net_0.9.0.201709011622
139	ACTIVE      org.eclipse.californium.scandium_1.0.6
140	RESOLVED    org.openhab.ui.basicui_2.2.0.201706290927
	            Master=39
141	ACTIVE      org.eclipse.equinox.http.servlet_1.4.0.v20170524-1452
142	ACTIVE      org.apache.commons.net_3.2.0.v201305141515
143	ACTIVE      org.eclipse.smarthome.ui.paper_0.9.0.201709011622
	            Fragments=137
144	ACTIVE      org.eclipse.jetty.io_9.3.14.v20161028
145	ACTIVE      org.eclipse.jetty.websocket.common_9.3.14.v20161028
146	ACTIVE      californium-osgi_1.0.6
147	ACTIVE      org.apache.felix.gogo.runtime_0.10.0.v201209301036
148	INSTALLED   org.eclipse.smarthome.io.transport.upnp_0.9.0.201709011622
149	RESOLVED    javax.transaction_1.1.1.v201105210645
	            Master=0
150	ACTIVE      org.openhab.io.rest.docs_2.2.0.201706290927
151	ACTIVE      org.eclipse.smarthome.automation.commands_0.9.0.201709011622
152	ACTIVE      org.eclipse.smarthome.model.item_0.9.0.201709011622
153	ACTIVE      org.eclipse.xtext.util_2.12.0.v20170518-0959
154	ACTIVE      org.eclipse.californium.element-connector_1.0.6
155	ACTIVE      org.eclipse.jetty.server_9.3.14.v20161028
156	ACTIVE      org.openhab.core_2.2.0.201706290927
